,food_items,season,min_prize,max_prize,date,model prize
443,Onion,Spring,45.42,63.51,2024-01-23,54.465
444,Groundnut oil,Spring,139.91,209.26,2023-10-04,174.58499999999998
445,Palm oil,Summer,146.48,172.51,2023-12-05,159.495
446,Tea,Summer,144.84,187.52,2023-12-09,166.18
447,Urad,Summer,68.64,84.26,2023-12-25,76.45
448,Masur,Spring,86.0,101.07,2023-04-09,93.535
449,Tomato,Spring,23.03,36.35,2023-07-15,29.69
450,Gur,Summer,55.27,63.88,2024-07-31,59.575
451,Wheat,Spring,35.29,37.65,2022-11-11,36.47
452,Onion,Winter,47.52,68.17,2023-11-14,57.845
453,Urad,Spring,53.6,69.12,2023-08-29,61.36
454,Urad,Winter,55.26,60.45,2024-03-06,57.855000000000004
455,Salt,Monsoon,23.5,24.72,2024-06-12,24.11
456,Soya oil,Spring,248.05,250.17,2022-12-09,249.11
457,Atta,Monsoon,42.27,55.15,2022-12-13,48.71
458,Gur,Winter,44.2,56.46,2023-07-14,50.33
459,Milk,Spring,55.15,62.97,2023-07-09,59.06
460,Vanaspati oil,Spring,186.01,208.77,2023-08-29,197.39
461,Sunflower oil,Monsoon,139.1,184.97,2024-08-07,162.035
462,Salt,Winter,18.32,40.38,2024-05-18,29.35
463,Potato,Summer,34.51,35.49,2022-12-13,35.0
464,Gur,Summer,54.33,59.9,2023-09-15,57.114999999999995
465,Tur,Spring,97.09,98.07,2023-06-24,97.58
466,Urad,Winter,59.99,63.98,2024-07-11,61.985
467,Milk,Summer,49.51,74.51,2023-05-31,62.010000000000005
468,Sunflower oil,Spring,127.89,137.26,2024-07-12,132.575
469,Onion,Summer,36.61,63.79,2024-01-23,50.2
470,Gram,Monsoon,53.51,62.94,2023-08-01,58.224999999999994
471,Atta,Monsoon,26.38,53.63,2023-07-12,40.005
472,Urad,Monsoon,61.86,73.72,2024-03-27,67.78999999999999
473,Urad,Winter,71.56,81.12,2024-08-13,76.34
474,Tea,Monsoon,172.78,211.27,2024-05-17,192.025
475,Rice,Monsoon,46.53,88.86,2022-12-15,67.695
476,Urad,Monsoon,54.87,68.0,2023-04-24,61.435
477,Mustard Oil,Spring,152.59,179.34,2022-11-16,165.965
478,Milk,Winter,49.6,65.47,2023-05-05,57.535
479,Masur,Summer,85.61,107.3,2023-02-06,96.455
480,Sunflower oil,Monsoon,123.21,164.81,2023-11-18,144.01
481,Moong,Summer,73.34,94.76,2023-11-28,84.05000000000001
482,Masur,Spring,69.67,82.43,2022-11-25,76.05000000000001
483,Masur,Winter,74.48,100.4,2023-10-09,87.44
484,Vanaspati oil,Summer,144.84,219.71,2023-02-22,182.275
485,Masur,Winter,82.04,86.97,2023-03-09,84.505
486,Groundnut oil,Winter,195.74,208.02,2023-05-21,201.88
487,Urad,Winter,79.99,83.94,2022-11-27,81.965
488,Urad,Spring,66.05,75.9,2023-07-13,70.975
489,Moong,Winter,79.13,103.29,2023-04-24,91.21000000000001
490,Mustard Oil,Spring,204.52,225.04,2024-02-16,214.78
491,Atta,Summer,39.48,53.75,2024-05-15,46.614999999999995
492,Vanaspati oil,Monsoon,204.56,217.09,2023-01-08,210.825
493,Groundnut oil,Spring,191.17,215.21,2022-09-11,203.19
494,Milk,Summer,44.28,71.83,2023-01-28,58.055
495,Urad,Winter,50.37,66.39,2022-12-30,58.379999999999995
496,Rice,Spring,46.89,68.74,2023-04-09,57.815
497,Groundnut oil,Monsoon,181.58,185.33,2023-06-23,183.455
498,Tea,Monsoon,151.49,215.78,2023-06-28,183.635
499,Masur,Spring,66.86,96.07,2023-05-19,81.465
500,Tomato,Monsoon,26.86,27.14,2022-11-28,27.0
501,Milk,Spring,49.52,71.12,2023-05-01,60.32000000000001
502,Onion,Winter,30.88,65.29,2023-07-07,48.085
503,Onion,Monsoon,40.4,41.31,2023-02-06,40.855000000000004
504,Urad,Monsoon,56.73,98.0,2023-08-25,77.365
505,Palm oil,Winter,154.94,159.78,2023-10-02,157.36
506,Salt,Monsoon,14.31,28.33,2022-11-07,21.32
507,Rice,Winter,40.63,60.95,2023-07-29,50.790000000000006
508,Milk,Summer,49.79,57.15,2023-12-25,53.47
509,Moong,Summer,87.66,112.02,2023-12-14,99.84
510,Mustard Oil,Winter,156.51,202.11,2024-06-12,179.31
511,Moong,Summer,89.19,118.41,2023-08-11,103.8
512,Groundnut oil,Summer,184.48,214.61,2023-11-29,199.54500000000002
513,Potato,Winter,29.81,35.41,2022-12-21,32.61
514,Onion,Summer,49.92,52.52,2022-09-22,51.22
515,Urad,Monsoon,64.14,66.58,2024-02-02,65.36
516,Tea,Summer,194.39,219.1,2022-12-31,206.745
517,Moong,Spring,91.58,101.53,2023-09-20,96.555
518,Masur,Winter,67.63,78.87,2023-07-18,73.25
519,Palm oil,Spring,127.64,165.69,2023-08-19,146.665
520,Masur,Monsoon,64.25,78.74,2023-05-02,71.495
521,Milk,Winter,52.53,72.52,2022-12-02,62.525
522,Mustard Oil,Monsoon,141.7,179.68,2023-01-26,160.69
523,Wheat,Spring,46.3,70.79,2024-01-19,58.545
524,Potato,Spring,29.51,59.06,2023-12-18,44.285000000000004
525,Salt,Spring,13.98,14.4,2023-12-09,14.190000000000001
526,Onion,Summer,39.68,47.45,2024-02-16,43.565
527,Wheat,Spring,50.59,56.27,2023-07-26,53.43000000000001
528,Tur,Summer,79.32,111.51,2024-01-04,95.41499999999999
529,Vanaspati oil,Winter,190.06,212.35,2024-01-22,201.20499999999998
530,Gur,Winter,52.62,64.08,2022-09-01,58.349999999999994
531,Tea,Monsoon,100.53,101.89,2024-01-06,101.21000000000001
532,Urad,Winter,65.34,68.23,2023-02-25,66.785
533,Urad,Summer,51.53,98.33,2023-11-02,74.93
534,Tur,Winter,95.77,99.45,2024-04-09,97.61
535,Tea,Spring,100.07,213.0,2023-05-12,156.535
536,Gur,Summer,41.96,49.03,2024-06-07,45.495000000000005
537,Gur,Spring,52.29,55.31,2023-10-20,53.8
538,Masur,Summer,67.94,108.95,2024-08-18,88.445
539,Salt,Monsoon,19.59,32.82,2024-07-14,26.205
540,Gram,Summer,59.95,87.1,2023-04-08,73.525
541,Mustard Oil,Summer,149.87,227.38,2024-06-11,188.625
542,Groundnut oil,Summer,190.28,208.64,2023-06-21,199.45999999999998
543,Moong,Monsoon,71.29,105.43,2023-10-21,88.36000000000001
544,Rice,Winter,67.4,79.26,2023-08-03,73.33000000000001
545,Palm oil,Winter,141.25,148.32,2023-03-20,144.785
546,Vanaspati oil,Monsoon,192.84,225.73,2023-07-16,209.285
547,Tur,Spring,73.01,108.67,2023-07-02,90.84
548,Soya oil,Monsoon,151.71,266.1,2024-05-09,208.90500000000003
549,Groundnut oil,Spring,173.05,198.99,2024-03-20,186.02
550,Potato,Monsoon,25.92,57.59,2022-10-01,41.755
551,Vanaspati oil,Monsoon,158.61,217.73,2022-12-27,188.17000000000002
552,Sunflower oil,Spring,169.11,185.48,2023-07-07,177.29500000000002
553,Onion,Monsoon,40.38,42.34,2024-04-04,41.36
554,Rice,Summer,54.17,69.87,2022-09-14,62.02
555,Palm oil,Spring,132.17,160.9,2022-10-11,146.535
556,Atta,Spring,32.16,37.54,2023-01-29,34.849999999999994
557,Moong,Spring,83.24,92.9,2023-12-03,88.07
558,Onion,Summer,40.44,41.48,2022-09-18,40.959999999999994
559,Salt,Summer,23.59,41.07,2023-10-08,32.33
560,Salt,Monsoon,18.29,41.04,2023-02-26,29.665
561,Rice,Winter,68.87,71.21,2023-10-04,70.03999999999999
562,Vanaspati oil,Monsoon,184.16,229.91,2023-09-09,207.035
563,Gram,Monsoon,74.7,86.95,2023-05-30,80.825
564,Tomato,Summer,17.56,39.39,2024-02-06,28.475
565,Sugar,Monsoon,25.04,32.99,2022-11-09,29.015
566,Urad,Monsoon,78.68,85.72,2022-09-03,82.2
567,Tur,Winter,89.15,97.81,2022-09-20,93.48
568,Soya oil,Summer,244.78,263.15,2023-12-28,253.96499999999997
569,Sugar,Summer,31.59,58.04,2023-11-18,44.815
570,Sugar,Winter,27.16,42.01,2023-05-29,34.585
571,Moong,Monsoon,76.64,106.29,2024-07-29,91.465
572,Milk,Monsoon,42.05,57.12,2023-04-11,49.584999999999994
573,Soya oil,Spring,177.66,224.42,2022-12-10,201.04
574,Gram,Spring,58.75,84.36,2023-03-21,71.555
575,Tur,Summer,70.74,101.97,2024-07-07,86.35499999999999
576,Masur,Summer,66.92,78.5,2023-05-24,72.71000000000001
577,Palm oil,Winter,168.02,198.58,2023-03-13,183.3
578,Soya oil,Summer,181.66,254.7,2023-04-06,218.18
579,Groundnut oil,Monsoon,137.28,189.72,2024-03-16,163.5
580,Gur,Winter,53.78,57.87,2024-05-12,55.825
581,Tea,Spring,142.6,211.7,2023-03-16,177.14999999999998
582,Salt,Winter,11.55,12.16,2023-04-29,11.855
583,Vanaspati oil,Winter,181.34,202.53,2022-08-28,191.935
584,Tea,Winter,179.87,216.93,2023-06-06,198.4
585,Sugar,Summer,30.98,44.19,2024-05-31,37.585
586,Vanaspati oil,Spring,174.04,206.95,2024-07-04,190.495
587,Wheat,Monsoon,54.6,68.83,2023-08-31,61.715
588,Milk,Monsoon,47.79,56.29,2023-10-27,52.04
589,Potato,Spring,38.89,41.75,2023-03-10,40.32
590,Salt,Monsoon,20.8,43.19,2022-12-13,31.994999999999997
591,Sunflower oil,Monsoon,149.88,166.85,2022-09-06,158.365
592,Soya oil,Winter,169.9,206.68,2024-06-28,188.29000000000002
593,Wheat,Winter,47.67,65.42,2024-02-07,56.545
594,Potato,Winter,38.56,57.15,2024-06-09,47.855000000000004
595,Rice,Spring,64.48,87.74,2022-11-29,76.11
596,Moong,Spring,78.29,93.7,2023-09-03,85.995
597,Onion,Spring,37.6,55.76,2023-06-19,46.68
598,Mustard Oil,Winter,186.78,199.17,2022-11-07,192.975
599,Potato,Monsoon,20.39,36.2,2022-09-19,28.295
600,Vanaspati oil,Winter,161.6,226.05,2024-07-28,193.825
601,Rice,Winter,66.65,86.74,2024-01-20,76.695
602,Mustard Oil,Monsoon,185.71,200.96,2023-01-23,193.335
603,Mustard Oil,Spring,178.42,220.47,2022-11-26,199.445
604,Potato,Winter,21.97,52.43,2023-03-07,37.2
605,Sugar,Winter,25.82,57.81,2024-01-26,41.815
606,Salt,Winter,22.11,23.28,2022-09-26,22.695
607,Wheat,Summer,45.68,60.41,2023-05-20,53.045
608,Sugar,Spring,28.4,33.83,2024-07-11,31.115
609,Urad,Spring,73.2,88.41,2024-01-27,80.805
610,Vanaspati oil,Summer,208.81,229.62,2024-07-21,219.215
611,Tomato,Winter,34.85,37.24,2022-11-27,36.045
612,Palm oil,Summer,176.3,182.1,2024-02-16,179.2
613,Wheat,Spring,41.46,66.86,2024-04-15,54.16
614,Salt,Monsoon,13.05,31.14,2023-11-19,22.095
615,Wheat,Monsoon,34.65,38.88,2023-03-18,36.765
616,Gur,Monsoon,37.91,52.96,2022-11-17,45.435
617,Tea,Monsoon,100.47,151.25,2023-11-26,125.86
618,Potato,Spring,33.28,44.01,2023-07-30,38.644999999999996
619,Potato,Monsoon,21.72,24.12,2024-05-31,22.92
620,Tomato,Spring,20.56,26.39,2023-02-19,23.475
621,Gram,Spring,74.13,77.29,2023-01-25,75.71000000000001
622,Mustard Oil,Spring,196.38,216.08,2024-03-26,206.23000000000002
623,Onion,Spring,41.39,56.04,2024-04-12,48.715
624,Moong,Winter,99.15,106.74,2023-08-18,102.945
625,Sugar,Monsoon,40.76,54.22,2024-02-17,47.489999999999995
626,Soya oil,Summer,189.56,266.42,2023-01-21,227.99
627,Gram,Spring,64.96,68.53,2023-08-29,66.745
628,Vanaspati oil,Winter,169.23,216.73,2023-05-27,192.98
629,Onion,Summer,43.87,67.81,2023-07-26,55.84
630,Sugar,Monsoon,30.19,56.58,2023-11-14,43.385
631,Moong,Summer,83.8,104.56,2022-09-18,94.18
632,Tea,Winter,195.5,219.49,2022-08-25,207.495
633,Atta,Spring,42.23,50.41,2024-01-27,46.31999999999999
634,Onion,Monsoon,47.75,61.96,2022-12-22,54.855000000000004
635,Potato,Monsoon,28.6,29.72,2023-03-06,29.16
636,Gram,Winter,69.25,82.18,2023-03-12,75.715
637,Mustard Oil,Monsoon,195.03,221.19,2024-05-14,208.11
638,Wheat,Winter,49.84,57.4,2023-08-25,53.620000000000005
639,Gur,Winter,55.02,68.73,2023-03-03,61.875
640,Gram,Monsoon,61.83,84.22,2024-04-02,73.025
641,Vanaspati oil,Summer,141.5,150.56,2024-02-09,146.03
642,Tur,Winter,78.77,119.3,2023-10-10,99.035
643,Masur,Spring,64.19,79.33,2024-04-13,71.75999999999999
644,Mustard Oil,Summer,143.57,172.2,2023-12-18,157.885
645,Vanaspati oil,Summer,162.42,226.41,2023-05-26,194.415
646,Sunflower oil,Spring,160.71,171.92,2024-04-11,166.315
647,Tur,Monsoon,70.74,111.68,2023-05-27,91.21000000000001
648,Sugar,Summer,38.21,42.29,2022-09-04,40.25
649,Tea,Winter,199.61,201.65,2023-01-04,200.63
650,Salt,Winter,23.01,29.48,2022-12-20,26.245
651,Salt,Monsoon,16.53,39.18,2023-01-02,27.855
652,Salt,Monsoon,20.16,43.46,2023-12-03,31.810000000000002
653,Vanaspati oil,Spring,183.48,188.03,2022-09-22,185.755
654,Masur,Spring,86.53,104.58,2024-02-28,95.555
655,Sunflower oil,Winter,152.71,154.71,2024-01-28,153.71
656,Onion,Winter,37.92,43.29,2023-08-20,40.605000000000004
657,Mustard Oil,Summer,197.53,220.28,2023-01-27,208.905
658,Soya oil,Summer,238.31,268.94,2023-05-29,253.625
659,Tomato,Spring,30.49,54.86,2024-08-04,42.675
660,Gur,Winter,50.37,51.47,2023-07-23,50.92
661,Palm oil,Winter,120.86,147.93,2023-09-15,134.395
662,Soya oil,Winter,232.35,264.96,2024-08-14,248.65499999999997
663,Groundnut oil,Summer,197.26,198.74,2023-08-20,198.0
664,Sunflower oil,Summer,112.67,183.29,2022-12-10,147.98
665,Vanaspati oil,Monsoon,161.35,199.66,2024-05-06,180.505
666,Potato,Summer,39.65,47.8,2023-03-08,43.724999999999994
667,Atta,Spring,38.32,49.02,2022-11-11,43.67
668,Gur,Monsoon,54.2,67.82,2022-09-21,61.01
669,Sugar,Spring,29.75,39.31,2023-07-05,34.53
670,Soya oil,Spring,175.81,225.95,2023-07-12,200.88
671,Vanaspati oil,Monsoon,189.22,227.93,2022-10-02,208.575
672,Mustard Oil,Summer,188.59,220.94,2023-12-12,204.765
673,Masur,Monsoon,65.07,81.88,2022-12-31,73.475
674,Potato,Winter,28.28,50.05,2023-12-25,39.165
675,Masur,Summer,68.88,81.35,2023-08-30,75.115
676,Soya oil,Winter,185.59,253.99,2024-05-08,219.79000000000002
677,Onion,Spring,41.55,43.69,2023-01-01,42.62
678,Mustard Oil,Summer,145.48,176.86,2024-04-22,161.17000000000002
679,Milk,Spring,55.33,72.32,2023-11-04,63.824999999999996
680,Onion,Winter,44.16,63.98,2022-09-07,54.06999999999999
681,Moong,Summer,78.61,101.3,2023-11-02,89.955
682,Wheat,Summer,43.58,66.82,2022-10-12,55.199999999999996
683,Palm oil,Monsoon,177.41,183.69,2024-04-02,180.55
684,Gur,Monsoon,54.83,71.44,2024-07-09,63.135
685,Rice,Monsoon,57.41,82.66,2023-09-17,70.035
686,Sugar,Spring,43.88,44.65,2024-03-25,44.265
687,Wheat,Winter,33.69,64.93,2022-12-04,49.31
688,Potato,Spring,21.68,41.46,2022-08-21,31.57
689,Salt,Winter,13.3,22.0,2024-04-26,17.65
690,Gram,Summer,67.55,68.38,2023-05-09,67.965
691,Moong,Summer,96.2,106.78,2024-06-14,101.49000000000001
692,Atta,Summer,35.05,51.22,2023-06-03,43.135
693,Moong,Summer,89.37,99.93,2023-10-21,94.65
694,Tur,Spring,73.03,87.98,2023-06-01,80.505
695,Gur,Summer,39.2,61.89,2024-06-26,50.545
696,Soya oil,Spring,181.8,266.3,2023-11-02,224.05
697,Sunflower oil,Spring,167.94,181.62,2023-03-22,174.78
698,Groundnut oil,Summer,173.22,219.32,2023-08-04,196.26999999999998
699,Onion,Spring,47.75,64.77,2023-02-14,56.26
700,Salt,Summer,14.7,25.78,2024-08-08,20.240000000000002
701,Mustard Oil,Summer,154.09,191.07,2023-07-08,172.57999999999998
702,Tea,Monsoon,199.04,218.16,2022-10-26,208.6
703,Moong,Summer,73.55,74.72,2023-02-01,74.13499999999999
704,Groundnut oil,Summer,192.9,207.46,2023-09-03,200.18
705,Masur,Monsoon,66.01,95.64,2023-03-17,80.825
706,Onion,Summer,42.88,46.19,2023-03-23,44.535
707,Gram,Monsoon,56.49,58.8,2022-11-26,57.644999999999996
708,Tur,Winter,76.3,82.08,2024-05-26,79.19
709,Tur,Winter,75.8,106.1,2024-03-10,90.94999999999999
710,Tur,Winter,71.48,76.42,2022-12-29,73.95
711,Gur,Monsoon,38.35,51.53,2022-09-24,44.94
712,Potato,Spring,25.98,34.66,2022-09-06,30.32
713,Mustard Oil,Spring,192.54,229.93,2022-09-07,211.235
714,Onion,Winter,40.68,68.36,2024-06-06,54.519999999999996
715,Urad,Monsoon,61.9,65.96,2023-03-28,63.92999999999999
716,Soya oil,Winter,190.88,214.31,2024-03-16,202.595
717,Urad,Monsoon,64.8,87.93,2022-10-15,76.36500000000001
718,Urad,Winter,63.83,97.65,2024-06-14,80.74000000000001
719,Wheat,Spring,52.12,68.18,2023-06-11,60.150000000000006
720,Moong,Winter,84.69,89.34,2023-04-20,87.015
721,Gram,Summer,59.93,84.63,2023-01-19,72.28
722,Tur,Summer,78.55,82.86,2022-08-22,80.705
723,Rice,Spring,67.24,83.38,2024-01-19,75.31
724,Tur,Winter,88.46,113.46,2023-09-11,100.96
725,Potato,Summer,36.71,47.97,2024-04-21,42.34
726,Soya oil,Summer,238.12,267.34,2022-09-01,252.73
727,Onion,Summer,35.43,56.43,2023-08-02,45.93
728,Atta,Winter,35.53,51.38,2023-11-22,43.455
729,Masur,Spring,88.13,94.8,2022-10-19,91.465
730,Potato,Spring,39.67,58.01,2022-09-08,48.84
731,Wheat,Monsoon,41.47,68.88,2023-05-31,55.175
732,Urad,Winter,73.07,91.33,2022-11-17,82.19999999999999
733,Moong,Winter,79.6,87.54,2023-09-22,83.57
734,Sunflower oil,Spring,150.29,183.76,2022-09-04,167.02499999999998
735,Tea,Winter,101.63,177.72,2024-07-21,139.675
736,Wheat,Monsoon,41.07,71.54,2024-04-16,56.30500000000001
737,Atta,Spring,31.43,47.35,2023-04-09,39.39
738,Wheat,Winter,42.87,47.38,2022-09-13,45.125
739,Groundnut oil,Spring,179.9,213.2,2024-04-17,196.55
740,Urad,Spring,51.74,65.8,2023-05-27,58.769999999999996
741,Urad,Spring,51.14,97.88,2022-09-16,74.50999999999999
742,Gram,Summer,66.68,93.99,2023-04-11,80.33500000000001
743,Salt,Monsoon,17.97,39.65,2023-10-25,28.81
744,Vanaspati oil,Monsoon,166.21,188.78,2023-06-09,177.495
745,Sunflower oil,Summer,132.7,170.4,2023-06-24,151.55
746,Gur,Spring,43.99,76.41,2024-04-16,60.2
747,Urad,Monsoon,79.5,80.12,2024-06-08,79.81
748,Onion,Monsoon,33.87,37.93,2023-08-12,35.9
749,Gram,Summer,51.06,61.07,2023-07-19,56.065
750,Sunflower oil,Summer,136.81,181.33,2023-02-05,159.07
751,Masur,Spring,66.65,88.06,2022-10-31,77.355
752,Potato,Spring,38.59,52.88,2023-05-29,45.735
753,Gram,Spring,69.95,83.75,2023-10-16,76.85
754,Atta,Spring,44.61,56.61,2024-05-30,50.61
755,Gur,Spring,36.14,44.82,2023-10-03,40.480000000000004
756,Tur,Winter,82.14,104.9,2023-06-09,93.52000000000001
757,Soya oil,Spring,227.19,244.87,2023-10-02,236.03
758,Wheat,Winter,47.75,69.27,2024-04-12,58.51
759,Sugar,Monsoon,31.35,64.3,2022-09-25,47.825
760,Vanaspati oil,Summer,185.48,224.7,2023-03-16,205.08999999999997
761,Moong,Monsoon,86.68,111.39,2022-08-21,99.035
762,Masur,Monsoon,83.12,107.53,2023-04-28,95.325
763,Groundnut oil,Summer,140.52,184.89,2024-07-11,162.70499999999998
764,Tomato,Monsoon,23.57,52.58,2023-06-24,38.075
765,Tur,Monsoon,73.15,119.18,2023-07-30,96.165
766,Milk,Spring,57.51,59.17,2022-08-31,58.34
767,Mustard Oil,Summer,174.37,214.29,2024-05-25,194.32999999999998
768,Milk,Spring,54.76,77.64,2024-04-06,66.2
769,Onion,Spring,46.0,53.46,2022-12-18,49.730000000000004
770,Salt,Spring,17.48,36.79,2023-01-05,27.134999999999998
771,Tomato,Monsoon,17.77,24.99,2023-06-22,21.38
772,Masur,Winter,74.43,85.04,2023-01-06,79.73500000000001
773,Atta,Monsoon,42.25,55.59,2023-06-16,48.92
774,Tur,Summer,80.46,114.02,2024-06-11,97.24
775,Wheat,Spring,50.12,74.96,2023-07-21,62.53999999999999
776,Palm oil,Summer,170.84,182.93,2022-09-24,176.885
777,Mustard Oil,Summer,148.92,217.08,2024-05-28,183.0
778,Wheat,Winter,31.49,46.73,2024-08-13,39.11
779,Tur,Winter,97.59,119.12,2023-07-01,108.355
780,Tomato,Winter,27.81,46.53,2024-07-10,37.17
781,Urad,Summer,51.27,76.34,2022-10-15,63.80500000000001
782,Vanaspati oil,Winter,178.28,195.87,2024-01-12,187.075
783,Groundnut oil,Monsoon,134.8,154.3,2023-04-18,144.55
784,Gur,Monsoon,43.95,59.64,2023-08-12,51.795
785,Soya oil,Summer,209.09,253.09,2022-11-28,231.09
786,Wheat,Monsoon,37.94,50.13,2024-05-21,44.035
787,Tur,Monsoon,70.59,72.61,2023-09-06,71.6
788,Mustard Oil,Monsoon,158.05,211.31,2023-05-19,184.68
789,Sunflower oil,Winter,147.7,180.26,2023-10-30,163.98
790,Gram,Monsoon,69.22,91.3,2023-04-17,80.25999999999999
791,Urad,Spring,71.61,99.4,2024-07-20,85.505
792,Moong,Spring,96.96,110.48,2024-08-12,103.72
793,Groundnut oil,Monsoon,171.17,172.84,2023-01-04,172.005
794,Wheat,Spring,54.96,57.6,2024-01-04,56.28
795,Atta,Winter,39.81,60.49,2024-08-10,50.150000000000006
796,Masur,Summer,71.19,78.83,2024-02-03,75.00999999999999
797,Sugar,Summer,26.98,55.44,2022-11-05,41.21
798,Mustard Oil,Winter,171.69,213.31,2023-08-31,192.5
799,Gur,Summer,57.89,61.13,2023-12-27,59.510000000000005
800,Salt,Winter,23.79,32.52,2024-06-16,28.155
801,Gram,Summer,57.63,92.87,2024-07-10,75.25
802,Onion,Summer,49.81,53.83,2023-05-21,51.82
803,Atta,Monsoon,38.14,41.0,2022-11-15,39.57
804,Groundnut oil,Monsoon,175.56,212.33,2023-04-18,193.945
805,Atta,Spring,38.69,49.67,2023-03-19,44.18
806,Moong,Monsoon,81.49,96.63,2023-12-28,89.06
807,Rice,Spring,57.69,86.17,2024-02-19,71.93
808,Urad,Winter,77.87,79.05,2022-11-14,78.46000000000001
809,Sunflower oil,Summer,120.9,128.65,2024-05-10,124.775
810,Vanaspati oil,Winter,153.53,180.04,2023-05-20,166.785
811,Potato,Winter,30.13,48.93,2023-01-21,39.53
812,Vanaspati oil,Spring,191.25,225.74,2023-11-06,208.495
813,Gur,Winter,59.73,73.17,2024-03-06,66.45
814,Palm oil,Spring,170.72,193.5,2023-11-14,182.11
815,Salt,Summer,14.61,41.22,2024-03-14,27.915
816,Sugar,Winter,25.86,25.87,2024-01-20,25.865000000000002
817,Gram,Winter,56.84,74.47,2022-12-23,65.655
818,Palm oil,Summer,158.3,162.54,2023-08-15,160.42000000000002
819,Gram,Summer,66.83,89.42,2024-06-22,78.125
820,Mustard Oil,Spring,152.97,184.95,2023-03-18,168.95999999999998
821,Soya oil,Winter,202.0,232.72,2022-08-24,217.36
822,Vanaspati oil,Spring,195.99,228.66,2023-03-10,212.325
823,Onion,Spring,45.98,47.85,2023-07-29,46.915
824,Gur,Summer,55.12,56.78,2024-07-05,55.95
825,Salt,Spring,13.54,18.36,2023-01-19,15.95
826,Sunflower oil,Spring,121.85,157.85,2022-08-29,139.85
827,Groundnut oil,Monsoon,177.02,197.23,2022-10-27,187.125
828,Tur,Winter,98.79,103.89,2024-01-22,101.34
829,Sunflower oil,Monsoon,155.79,185.56,2024-01-07,170.675
830,Tur,Monsoon,86.86,101.98,2024-05-18,94.42
831,Gur,Winter,49.9,62.81,2023-11-25,56.355000000000004
832,Palm oil,Summer,153.31,172.78,2023-07-09,163.04500000000002
833,Tea,Spring,140.05,195.64,2023-03-29,167.845
834,Gram,Spring,52.32,59.43,2022-08-24,55.875
835,Sunflower oil,Summer,161.07,183.38,2022-09-21,172.225
836,Salt,Spring,14.22,25.83,2024-08-20,20.025
837,Urad,Summer,77.78,95.96,2024-05-03,86.87
838,Milk,Winter,52.29,58.43,2023-10-20,55.36
839,Moong,Summer,71.33,92.32,2024-08-03,81.82499999999999
840,Masur,Summer,80.18,104.89,2024-03-04,92.535
841,Rice,Winter,65.58,66.38,2023-06-20,65.97999999999999
842,Sugar,Winter,29.88,41.79,2023-10-15,35.835
843,Potato,Summer,23.77,52.86,2023-09-24,38.315
844,Gram,Spring,69.19,82.53,2024-01-07,75.86
845,Atta,Spring,44.66,47.59,2024-05-24,46.125
846,Sunflower oil,Monsoon,163.98,167.01,2023-07-26,165.495
847,Soya oil,Summer,166.32,238.5,2023-07-22,202.41
848,Rice,Summer,43.29,69.72,2023-02-27,56.504999999999995
849,Urad,Winter,62.61,89.85,2023-03-02,76.22999999999999
850,Groundnut oil,Monsoon,193.05,213.8,2023-05-10,203.425
851,Salt,Winter,22.75,23.48,2024-04-28,23.115000000000002
852,Potato,Spring,26.2,43.62,2023-04-04,34.91
853,Moong,Monsoon,82.48,91.16,2023-11-09,86.82
854,Tea,Summer,130.79,215.13,2024-06-04,172.95999999999998
855,Milk,Spring,45.88,57.96,2024-08-15,51.92
856,Urad,Monsoon,50.11,92.27,2022-09-30,71.19
857,Gram,Winter,53.87,62.27,2023-08-19,58.07
858,Urad,Monsoon,57.66,95.11,2024-03-21,76.38499999999999
859,Tomato,Spring,19.13,47.74,2024-06-03,33.435
860,Rice,Monsoon,64.24,88.12,2024-04-29,76.18
861,Milk,Spring,42.31,50.5,2023-06-05,46.405
862,Gur,Winter,53.57,58.75,2023-10-24,56.16
863,Atta,Spring,30.73,36.44,2023-07-12,33.585
864,Moong,Spring,75.18,96.76,2024-01-28,85.97
865,Urad,Monsoon,53.29,68.32,2023-06-08,60.80499999999999
866,Mustard Oil,Monsoon,169.86,171.34,2023-12-14,170.60000000000002
867,Wheat,Monsoon,39.71,43.03,2023-06-21,41.370000000000005
868,Moong,Spring,84.81,113.87,2023-04-13,99.34
869,Milk,Summer,56.37,58.27,2023-08-22,57.32
870,Groundnut oil,Monsoon,172.09,212.08,2023-01-07,192.085
871,Atta,Spring,29.76,56.61,2024-06-13,43.185
872,Masur,Monsoon,86.72,105.49,2023-07-06,96.10499999999999
873,Urad,Winter,53.22,53.64,2023-10-14,53.43
874,Soya oil,Spring,169.17,196.44,2024-05-30,182.805
875,Urad,Summer,68.49,80.6,2023-06-30,74.54499999999999
876,Rice,Spring,61.1,71.3,2023-10-15,66.2
877,Gram,Spring,53.86,66.72,2023-10-04,60.29
878,Vanaspati oil,Spring,201.9,228.83,2023-05-28,215.365
879,Sugar,Winter,29.15,57.42,2023-01-19,43.285
880,Rice,Spring,48.2,85.28,2024-04-17,66.74000000000001
881,Vanaspati oil,Monsoon,151.59,203.81,2024-07-04,177.7
882,Groundnut oil,Winter,135.89,217.8,2022-11-27,176.845
883,Soya oil,Summer,220.06,262.1,2024-07-30,241.08
884,Tea,Spring,156.67,186.87,2024-02-17,171.76999999999998
